Name,Protein,Fat,Carbs,Calories,DateTime
Burger,20,5,500,500,2025-11-07 17:06:23.771959
Pizza,30,7.5,200,600,2025-11-07 12:06:23.771959
Chicken Salad,35,12,25,350,2025-11-06 08:30:15.123456
Spaghetti Carbonara,18,22,65,520,2025-11-05 19:45:30.987654
reek Yogurt,10,0,17,120,2025-11-05 07:15:00.000000
S,Salmon Fillet,40,18,0,340,2025-11-05 13:20:45.555555
Caesar Salad,8,15,12,210,2025-11-04 12:30:00.111111
Oatmeal with Berries,6,4,45,240,2025-11--04 07:00:00.222222
Grilled Chicken Wrap,28,10,35,380,2025-11-04 18:15:30.333333
Smoothie Bowl,5,8,52,280,2025-11-03 09:00:00.444444
Beef Tacos,25,20,40,450,2025-11-03 20:30:15.666666
Avocado Toast,6,14,28,260,2025-11-03 08:45:00.777777
Protein Shake,30,2,8,180,2025-11-02 16:00:00.888888
Vegetable Stir Fry,12,8,35,270,2025-11-02 19:00:00.999999
Tuna Sandwich,22,9,32,310,2025-11-02 12:15:30.123123
Eggs Benedict,16,28,30,420,2025-11-01 10:30:00.234234
Turkey Club Sandwich,32,15,38,440,2025-11-01 13:45:15.345345
Quinoa Bowl,14,10,48,340,2025-11-01 19:30:00.456456
Chocolate Protein Bar,20,8,24,250,2025-10-31 15:00:00.567567
Grilled Steak,48,25,0,450,2025-10-31 20:15:30.678678asdfjdklsasjkldajsksssssssssss,2.0,2.0,2.0,2.0,2025-11-27 19:58:49.740584
aaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,2.0,2.0,2.0,2.0,2025-11-27 20:00:22.416394
Burger,4.0,2.0,3.0,2.0,2025-11-27 20:59:24.560590
Burger,20,5,500,500,2025-11-27 20:59:57.633453
j45,2.0,1.0,2.0,3.0,2025-11-27 21:07:55.264608
name,3.0,3.0,3.0,3.0,2025-11-27 22:38:12.417066
name,3.0,3.0,3.0,3.0,2025-11-27 22:38:16.567467
r,3.0,3.0,3.0,3.0,2025-11-27 23:47:19.742568
r,3.0,3.0,3.0,3.0,2025-11-27 23:47:26.232320
Pizza Proscutto,5.0,10.0,300.0,900.0,2025-12-03 11:04:35.477103
Pizza Proscutto,5.0,10.0,300.0,900.0,2025-12-03 11:04:51.932940
Pizza,30,7.5,200,600,2025-12-03 11:10:03.695812
Pizza Proscutto,21.0,30.5,1.0,3.0,2025-12-12 09:42:16.951960
Pizza Proscutto,5.0,10.0,300.0,900.0,2025-12-12 09:43:11.784743
,,,,test,1,1,1,1,2025-11-12 08:58:40.243814
test,1,1,1,1,2025-11-12 08:58:50.829912
test,3.0,2.0,3.0,3.0,2025-11-16 15:39:58.567493
test,1,1,1,1,2025-11-16 15:40:16.938946
Test,3.0,3.0,2.0,3.43,2025-11-17 08:37:22.009970
Test,3.0,3.0,2.0,3.43,2025-11-17 08:37:33.403268
Test2,4.3,3.0,2.0,3.0,2025-11-17 08:37:49.557617
Test2,4.3,3.0,2.0,3.0,2025-11-17 08:38:00.968592
Burger,50.0,30.0,20.0,20.0,2025-11-17 08:43:19.505152
Test,4.0,3.0,2.0,3.0,2025-11-19 07:28:12.102546
Test,3.0,3.0,2.0,3.43,2025-11-19 07:28:22.601766
t,0.0,0.0,0.0,0.0,2025-11-19 07:34:31.395948
e,1.0,2.0,3.0,4.0,2025-11-19 07:34:43.569670
Burger,5.0,9999.0,555.0,6666.0,2025-11-19 10:23:18.334183
Burger,20,5,500,500,2025-11-19 10:23:32.731686
name,2.0,1.0,2.0,3.0,2025-11-25 20:30:46.594492
name,2.0,1.0,2.0,3.0,2025-11-25 20:30:50.413481
Cornetto di Pistaccio,10.0,5.0,300.0,500.0,2025-11-26 08:17:45.028960
Cornetto di Pistaccio,10.0,5.0,300.0,500.0,2025-11-26 08:17:57.625896
entry,3.0,3.0,1.0,1.0,2025-11-26 09:40:23.344534
1,1.0,1.0,1.0,1.0,2025-11-26 09:43:10.102439
dasdfd,2.0,2.0,2.0,2.0,2025-11-26 10:02:59.624417
sadfas3323dafdsfa,2.0,3.0,2.0,1.0,2025-11-26 10:03:09.141717
Scrambled Eggs,18,14,3,220,2025-12-06 07:30:00.000000
Whole Wheat Toast,6,2,30,170,2025-12-06 07:35:00.000000
Greek Yogurt Parfait,15,3,28,200,2025-12-06 10:00:00.000000
Grilled Chicken Breast,35,8,0,240,2025-12-06 12:30:00.000000
Brown Rice,5,2,45,220,2025-12-06 12:35:00.000000
Steamed Broccoli,4,0.5,8,35,2025-12-06 12:40:00.000000
Banana,1.3,0.4,27,105,2025-12-06 15:00:00.000000
Salmon Fillet,40,18,0,340,2025-12-06 19:00:00.000000
Sweet Potato,2,0.2,26,112,2025-12-06 19:15:00.000000
Oatmeal with Berries,8,5,52,285,2025-12-07 07:00:00.000000
Coffee with Milk,2,3,6,60,2025-12-07 07:30:00.000000
Turkey Sandwich,28,10,42,380,2025-12-07 12:00:00.000000
Apple,0.5,0.3,25,95,2025-12-07 15:30:00.000000
Protein Shake,30,2,10,180,2025-12-07 16:00:00.000000
Beef Stir Fry,32,15,28,380,2025-12-07 19:30:00.000000
Veggie Quinoa Bowl,12,8,45,310,2025-12-08 12:00:00.000000
Almonds,6,14,6,164,2025-12-08 15:00:00.000000
Grilled Fish Tacos,28,12,38,380,2025-12-08 19:00:00.000000
Cottage Cheese,14,2,6,98,2025-12-08 21:00:00.000000
Avocado Toast,8,15,30,290,2025-12-09 08:00:00.000000
Orange Juice,2,0.5,26,112,2025-12-09 08:15:00.000000
Chicken Caesar Salad,35,18,12,360,2025-12-09 13:00:00.000000
Protein Bar,20,8,24,250,2025-12-09 16:00:00.000000
Spaghetti Bolognese,25,15,65,520,2025-12-09 20:00:00.000000
Pancakes with Syrup,8,6,58,320,2025-12-10 09:00:00.000000
Bacon,12,18,1,220,2025-12-10 09:10:00.000000
Tuna Salad Wrap,24,10,35,340,2025-12-10 13:00:00.000000
Trail Mix,8,20,28,320,2025-12-10 16:00:00.000000
Roasted Chicken Thighs,28,22,0,310,2025-12-10 19:30:00.000000
Roasted Vegetables,3,5,18,120,2025-12-10 19:45:00.000000
Smoothie Bowl,6,8,48,290,2025-12-11 08:00:00.000000
Espresso,0.5,0,1,5,2025-12-11 10:00:00.000000
Vegetarian Burrito,18,14,52,410,2025-12-11 13:00:00.000000
Carrots and Hummus,4,6,18,140,2025-12-11 16:00:00.000000
Pork Chops,30,20,0,310,2025-12-11 19:00:00.000000
Mashed Potatoes,4,8,32,220,2025-12-11 19:20:00.000000
Green Beans,2,0.5,7,35,2025-12-11 19:25:00.000000
Bagel with Cream Cheese,10,12,48,340,2025-12-12 07:00:00.000000
Fruit Salad,2,0.5,32,135,2025-12-12 10:30:00.000000
Chicken Pho,25,8,45,360,2025-12-12 12:30:00.000000
Yogurt,10,3,20,145,2025-12-12 15:00:00.000000
Beef Burger with Fries,35,28,55,620,2025-12-12 19:00:00.000000
"ha,a,a,a,a",1.0,1.0,1.0,1.0,2025-12-14 16:13:38.899242
